stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Kỹ Sư Điện Trang Trại Chăn Nuôi,https://vn.joboko.com/viec-lam-ky-su-dien-trang-trai-chan-nuoi-xvi6113612
5,[Nha Trang] Chuyên Viên IT,https://vn.joboko.com/viec-lam-nha-trang-chuyen-vien-it-xvi6107176
6,Kỹ Thuật Viên Điện Ô Tô,https://vn.joboko.com/viec-lam-ky-thuat-vien-dien-o-to-xvi6111739
7,"Nhân Viên Kỹ Thuật Viễn Thông tại Khánh Vĩnh (Thu nhập lên đến 18 triệu, đi làm ngay)",https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-vien-thong-tai-khanh-vinh-thu-nhap-len-den-18-trieu-di-lam-ngay-xvi6075078
8,INFORMATION SYSTEMS COORDINATOR,https://vn.joboko.com/viec-lam-information-systems-coordinator-xvi6055342
9,Nhân Viên Agency (Quản Lý Idol Và Vận Hành Livestream),https://vn.joboko.com/viec-lam-nhan-vien-agency-quan-ly-idol-va-van-hanh-livestream-xvi6070718
10,Sport Scout,https://vn.joboko.com/viec-lam-sport-scout-xvi5977119
11,Chỉ Huy Trưởng Ngành Điện- Điện Lạnh,https://vn.joboko.com/viec-lam-chi-huy-truong-nganh-dien-dien-lanh-xvi6016097
12,Thiết Kế 2D/3D,https://vn.joboko.com/viec-lam-thiet-ke-2d-3d-xvi6057907
13,Chuyên Viên IT Phần Mềm,https://vn.joboko.com/viec-lam-chuyen-vien-it-phan-mem-xvi6049129
14,Video Editor( Chuyên Quay Dựng Video ),https://vn.joboko.com/viec-lam-video-editor-chuyen-quay-dung-video-xvi6076498
15,Chuyên Viên QLTK Điện Nhẹ,https://vn.joboko.com/viec-lam-chuyen-vien-qltk-dien-nhe-xvi6108265
16,Trưởng Ca Vận Hành NM Điện Gió,https://vn.joboko.com/viec-lam-truong-ca-van-hanh-nm-dien-gio-xvi6104725
17,Business Development (Sales),https://vn.joboko.com/viec-lam-business-development-sales-xvi6071067
18,"Nhân Viên Cơ Điện/ Kỹ Sư Cơ Điện Làm Việc Tại Cam Ranh, Khánh Hòa",https://vn.joboko.com/viec-lam-nhan-vien-co-dien-ky-su-co-dien-lam-viec-tai-cam-ranh-khanh-hoa-xvi6098434
19,Nhân Viên Photographer/Video Editor,https://vn.joboko.com/viec-lam-nhan-vien-photographer-video-editor-xvi6003709
20,Tuyển dụng NHÂN VIÊN IT NHÀ MÁY tại Khánh Hòa - SK NEST KHÁNH HÒA,https://vn.joboko.com/viec-lam-tuyen-dung-nhan-vien-it-nha-may-tai-khanh-hoa-sk-nest-khanh-hoa-xvi6069770
21,Giáo Viên Dạy Lập Trình Cho Trẻ,https://vn.joboko.com/viec-lam-giao-vien-day-lap-trinh-cho-tre-xvi6068372
22,Software QA Engineer (Remote),https://vn.joboko.com/viec-lam-software-qa-engineer-remote-xvi6102428
23,IT Officer,https://vn.joboko.com/viec-lam-it-officer-xvi6066591
24,Nhân Viên Thiết Kế/Graphic Designer,https://vn.joboko.com/viec-lam-nhan-vien-thiet-ke-graphic-designer-xvi6080026
25,Tổ Trưởng Sửa Chữa,https://vn.joboko.com/viec-lam-to-truong-sua-chua-xvi6068860
26,|Nha Trang| - Nhân Viên Kinh Doanh Phần Mềm,https://vn.joboko.com/viec-lam-nha-trang-nhan-vien-kinh-doanh-phan-mem-xvi5154353
27,Phân Tích Hóa,https://vn.joboko.com/viec-lam-phan-tich-hoa-xvi6071301
28,IT Network & Support Specialist_NIGHT SHIFT,https://vn.joboko.com/viec-lam-it-network-support-specialist-night-shift-xvi6049127
29,Kĩ Sư ME,https://vn.joboko.com/viec-lam-ki-su-me-xvi6046385
30,Vận Hành Lò Hơi - Trực Chính Lò,https://vn.joboko.com/viec-lam-van-hanh-lo-hoi-truc-chinh-lo-xvi6071325
31,Nhân Viên IT,https://vn.joboko.com/viec-lam-nhan-vien-it-xvi6025011
32,Giám Sát Bán Hàng (DirectSale) - Sản Phẩm Phần Mềm,https://vn.joboko.com/viec-lam-giam-sat-ban-hang-directsale-san-pham-phan-mem-xvi6065326
33,Kỹ Sư CI,https://vn.joboko.com/viec-lam-ky-su-ci-xvi6071308
34,Chuyên Viên Thiết Kế,https://vn.joboko.com/viec-lam-chuyen-vien-thiet-ke-xvi6031458
35,Nhân Viên Kinh Doanh Phần Mềm - Được Đào Tạo,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-phan-mem-duoc-dao-tao-xvi6076511
36,"Học Viên Tuabin Điện; Lò Hơi, Hóa",https://vn.joboko.com/viec-lam-hoc-vien-tuabin-dien-lo-hoi-hoa-xvi6071321
