stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Cộng Tác Viên Kinh Doanh Phần Mềm & AI,https://vn.joboko.com/viec-lam-cong-tac-vien-kinh-doanh-phan-mem-ai-xvi6058669
5,Nhân Viên Cơ Điện (Bao Ăn Ở Ký Túc Xá),https://vn.joboko.com/viec-lam-nhan-vien-co-dien-bao-an-o-ky-tuc-xa-xvi6028128
6,Nhân Viên Agency (Quản Lý Idol Và Vận Hành Livestream),https://vn.joboko.com/viec-lam-nhan-vien-agency-quan-ly-idol-va-van-hanh-livestream-xvi6070718
7,"CTV Bán Hàng Dịch Vụ , Phần Mềm",https://vn.joboko.com/viec-lam-ctv-ban-hang-dich-vu-phan-mem-xvi6103232
8,"Nhân Viên Tư Vấn Bán Hàng Tại Gia Nghĩa, Đắk Nông",https://vn.joboko.com/viec-lam-nhan-vien-tu-van-ban-hang-tai-gia-nghia-dak-nong-xvi5999978
9,Nhân Viên Bán Hàng Điện Máy PC PS Promoter,https://vn.joboko.com/viec-lam-nhan-vien-ban-hang-dien-may-pc-ps-promoter-xvi6095946
10,CTV Kinh Doanh Giải Pháp Công Nghệ,https://vn.joboko.com/viec-lam-ctv-kinh-doanh-giai-phap-cong-nghe-xvi6072058
11,Kĩ Sư Vận Hành Điện Gió Thu Nhập Từ 22- 30 Triệu,https://vn.joboko.com/viec-lam-ki-su-van-hanh-dien-gio-thu-nhap-tu-22-30-trieu-xvi6005155
