stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Nhân Viên Kỹ Thuật Bảo Hành,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-bao-hanh-xvi6094412
5,Kỹ Sư Điện (Không Yêu Cầu Kinh Nghiệm),https://vn.joboko.com/viec-lam-ky-su-dien-khong-yeu-cau-kinh-nghiem-xvi6073035
6,Nhân Viên Agency (Quản Lý Idol Và Vận Hành Livestream),https://vn.joboko.com/viec-lam-nhan-vien-agency-quan-ly-idol-va-van-hanh-livestream-xvi6070718
7,"Nhân Viên Lập Trình PLC (Có Xe Đưa Đón Từ Hà Nội, Thái Nguyên, Bắc Giang, Bắc Ninh - Nghỉ Thứ 7 và Chủ Nhật)",https://vn.joboko.com/viec-lam-nhan-vien-lap-trinh-plc-co-xe-dua-don-tu-ha-noi-thai-nguyen-bac-giang-bac-ninh-nghi-thu-7-va-chu-nhat-xvi6040301
