stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Business Development Executive (Automotive),https://vn.joboko.com/viec-lam-business-development-executive-automotive-xvi6092418
5,Kỹ sư AOI (kiểm tra quang học tự động),https://vn.joboko.com/viec-lam-ky-su-aoi-kiem-tra-quang-hoc-tu-dong-xvi6111873
6,Kỹ sư AOI,https://vn.joboko.com/viec-lam-ky-su-aoi-xvi6058696
7,Thực Tập Sinh Triển Khai Phần Mềm Toàn Quốc (Fulltime),https://vn.joboko.com/viec-lam-thuc-tap-sinh-trien-khai-phan-mem-toan-quoc-fulltime-xvi6060887
8,Chuyên Viên/Chuyên Viên Cao Cấp Phát Triển Sản Phẩm Khách Hàng Doanh Nghiệp - Hội Sở Hà Đông,https://vn.joboko.com/viec-lam-chuyen-vien-chuyen-vien-cao-cap-phat-trien-san-pham-khach-hang-doanh-nghiep-hoi-so-ha-dong-xvi6098775
9,Chuyên Viên Triển Khai Dự Án,https://vn.joboko.com/viec-lam-chuyen-vien-trien-khai-du-an-xvi5971648
10,"Nhân Viên Quay Phim, Chụp Hình",https://vn.joboko.com/viec-lam-nhan-vien-quay-phim-chup-hinh-xvi5627280
11,"Nhân Viên QA-Telesale, Đảm Bảo Chất Lượng Cuộc Gọi",https://vn.joboko.com/viec-lam-nhan-vien-qa-telesale-dam-bao-chat-luong-cuoc-goi-xvi6111682
12,Nhân Viên Agency (Quản Lý Idol Và Vận Hành Livestream),https://vn.joboko.com/viec-lam-nhan-vien-agency-quan-ly-idol-va-van-hanh-livestream-xvi6070718
13,CHUYÊN VIÊN IT,https://vn.joboko.com/viec-lam-chuyen-vien-it-xvi6106641
14,Kỹ Sư Dự Án,https://vn.joboko.com/viec-lam-ky-su-du-an-xvi6092659
15,Nhân Viên Kinh Doanh Xã Phường,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-xa-phuong-xvi6100623
16,TECHNICAL & SUPPORT TECHNICIAN/ NHÂN VIÊN HỖ TRỢ KỸ THUẬT,https://vn.joboko.com/viec-lam-technical-support-technician-nhan-vien-ho-tro-ky-thuat-xvi5911768
17,Nhân Viên Kỹ Thuật Máy Photocopy,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-may-photocopy-xvi6088206
18,Kỹ Thuật Lành Nghề Điện Lạnh Và Điện Dân Dụng,https://vn.joboko.com/viec-lam-ky-thuat-lanh-nghe-dien-lanh-va-dien-dan-dung-xvi6114252
19,Sales & Business Development Manager - Quảng Nam,https://vn.joboko.com/viec-lam-sales-business-development-manager-quang-nam-xvi6020561
20,CHUYÊN VIÊN THIẾT KẾ 3D KHUÔN ĐẾ GIÀY - Số lượng: 3,https://vn.joboko.com/viec-lam-chuyen-vien-thiet-ke-3d-khuon-de-giay-so-luong-3-xvi5799092
21,Chuyên Viên Triển Khai Dự Án,https://vn.joboko.com/viec-lam-chuyen-vien-trien-khai-du-an-xvi6093896
22,Chuyên Viên IT,https://vn.joboko.com/viec-lam-chuyen-vien-it-xvi5626331
23,NHÂN VIÊN IT,https://vn.joboko.com/viec-lam-nhan-vien-it-xvi6117524
24,(QUẢNG NAM) NHÂN VIÊN KINH DOANH,https://vn.joboko.com/viec-lam-quang-nam-nhan-vien-kinh-doanh-xvi6068834
25,Nhân Viên Kinh Doanh,https://vn.joboko.com/viec-lam-oppo-quang-nam-nhan-vien-kinh-doanh-xvi5655069
26,Nhân Viên Kỹ Thuật,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-xvi5902394
