stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Nhân viên Kinh doanh,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-xvi5891654
5,Giám Sát Hiện Trường Cơ Điện,https://vn.joboko.com/viec-lam-giam-sat-hien-truong-co-dien-xvi6117030
6,Kỹ Sư Phần Mềm (Tiếng Trung),https://vn.joboko.com/viec-lam-ky-su-phan-mem-tieng-trung-xvi6033416
7,Nhân Viên Quay Dựng,https://vn.joboko.com/viec-lam-nhan-vien-quay-dung-xvi6061456
8,Garment Development Merchandiser,https://vn.joboko.com/viec-lam-garment-development-merchandiser-xvi6085230
9,"Nhân Viên Kỹ Thuật Máy Tính, Camera",https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-may-tinh-camera-xvi5969032
10,Nhân Viên Kinh Doanh (Sẵn Data Khách Hàng),https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-san-data-khach-hang-xvi6022824
11,Nhân Viên Kỹ Thuật Bảo Trì - Đi Làm Ngay,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-bao-tri-di-lam-ngay-xvi6081349
12,Tổ Trưởng Sửa Chữa,https://vn.joboko.com/viec-lam-to-truong-sua-chua-xvi6073995
13,Kỹ Sư Lò,https://vn.joboko.com/viec-lam-ky-su-lo-xvi6074006
14,"Học Viên Hóa, Tuabin Điện,",https://vn.joboko.com/viec-lam-hoc-vien-hoa-tuabin-dien-xvi6097963
