stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Fullstack Developer,https://vn.joboko.com/viec-lam-fullstack-developer-xvi6108088
5,Fullstack Developer (Java Spring Boot + Angular),https://vn.joboko.com/viec-lam-fullstack-developer-java-spring-boot-angular-xvi6108170
6,Nhân Viên Tư Vấn,https://vn.joboko.com/viec-lam-nhan-vien-tu-van-xvi6110629
7,Nhân Viên Phát Triển Thị Trường,https://vn.joboko.com/viec-lam-nhan-vien-phat-trien-thi-truong-xvi5976491
8,"Lập Trình Viên Web (.NET Core, Vue.Js)",https://vn.joboko.com/viec-lam-lap-trinh-vien-web-net-core-vue-js-xvi6089488
9,Nhân Viên Cơ Điện,https://vn.joboko.com/viec-lam-nhan-vien-co-dien-xvi6070727
10,"Nhân Viên Kinh Doanh Phần Mềm Quản Lý Bán Hàng (Thu Nhập 15-30tr/Tháng, Không Yêu Cầu Kinh Nghiệm)",https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-phan-mem-quan-ly-ban-hang-thu-nhap-15-30tr-thang-khong-yeu-cau-kinh-nghiem-xvi6019252
11,Designer,https://vn.joboko.com/viec-lam-designer-xvi6111055
12,Nhân Viên Agency (Quản Lý Idol Và Vận Hành Livestream),https://vn.joboko.com/viec-lam-nhan-vien-agency-quan-ly-idol-va-van-hanh-livestream-xvi6070718
13,Nhân Viên Quay Dựng/ Video Editor - Tại Thái Nguyên - Lương Thưởng Hấp Dẫn,https://vn.joboko.com/viec-lam-nhan-vien-quay-dung-video-editor-tai-thai-nguyen-luong-thuong-hap-dan-xvi6044610
14,Tìm Kiếm Factory Project Manager (FPM),https://vn.joboko.com/viec-lam-tim-kiem-factory-project-manager-fpm-xvi6115534
15,"Nhân Viên Lập Trình PLC (Có Xe Đưa Đón Từ Hà Nội, Thái Nguyên, Bắc Giang, Bắc Ninh - Nghỉ Thứ 7 và Chủ Nhật)",https://vn.joboko.com/viec-lam-nhan-vien-lap-trinh-plc-co-xe-dua-don-tu-ha-noi-thai-nguyen-bac-giang-bac-ninh-nghi-thu-7-va-chu-nhat-xvi6040301
16,Chuyên Gia Tự Động Hóa /robot (PC Control) - Có Xe Đưa Đón Từ Hà Nội,https://vn.joboko.com/viec-lam-chuyen-gia-tu-dong-hoa-robot-pc-control-co-xe-dua-don-tu-ha-noi-xvi6098014
17,Mobile Developer (Android/IOS)-Lương Upto 20.000.000đ- Làm Việc Tại Thái Nguyên,https://vn.joboko.com/viec-lam-mobile-developer-android-ios-luong-upto-20-000-000d-lam-viec-tai-thai-nguyen-xvi6002188
18,"Nhân Viên Content Cơ Khí, Điện, Điện Tử",https://vn.joboko.com/viec-lam-nhan-vien-content-co-khi-dien-dien-tu-xvi6095998
19,[Thái Nguyên] Cán Bộ Trắc Đạc,https://vn.joboko.com/viec-lam-thai-nguyen-can-bo-trac-dac-xvi6081863
20,Nhân Viên Lập Trình CNC,https://vn.joboko.com/viec-lam-nhan-vien-lap-trinh-cnc-xvi6060385
21,IT MES / IT Infrastructure ( Có Xe Đưa Đón Từ Hà Nội ),https://vn.joboko.com/viec-lam-it-mes-it-infrastructure-co-xe-dua-don-tu-ha-noi-xvi6036095
22,Chuyên Viên Quay Dựng/ Video Editor,https://vn.joboko.com/viec-lam-chuyen-vien-quay-dung-video-editor-xvi6054892
23,Nhân Viên Vận Hành Hạ Tầng CNTT - Làm Việc Tại Thái Nguyên,https://vn.joboko.com/viec-lam-nhan-vien-van-hanh-ha-tang-cntt-lam-viec-tai-thai-nguyen-xvi5878437
24,Nhân Viên Tư Vấn Phần Mềm Trực Tiếp,https://vn.joboko.com/viec-lam-nhan-vien-tu-van-phan-mem-truc-tiep-xvi6073522
25,Chuyên Viên Kinh Doanh Phát Triển Thị Trường,https://vn.joboko.com/viec-lam-chuyen-vien-kinh-doanh-phat-trien-thi-truong-xvi6075026
26,Nhân Viên Tư Vấn - Phần Mềm Top 1,https://vn.joboko.com/viec-lam-nhan-vien-tu-van-phan-mem-top-1-xvi6061399
27,Chuyên Viên Tư Vấn Phần Mềm KiotViet,https://vn.joboko.com/viec-lam-chuyen-vien-tu-van-phan-mem-kiotviet-xvi6061398
28,Website Developer Wordpress Shopify -Hà Nội / Thái Nguyên - Lương 15 Triệu + Thưởng,https://vn.joboko.com/viec-lam-website-developer-wordpress-shopify-ha-noi-thai-nguyen-luong-15-trieu-thuong-xvi6066458
29,Chuyên Viên Kinh Doanh - Phát Triển Thị Trường,https://vn.joboko.com/viec-lam-chuyen-vien-kinh-doanh-phat-trien-thi-truong-xvi6060438
