stt,tên việc,link
1,Thực tập sinh xử lý dữ liệu,https://vn.joboko.com/viec-lam-thuc-tap-sinh-xu-ly-du-lieu-xvi5848377
2,[Hà Nội] Senior Unity Developer,https://vn.joboko.com/viec-lam-senior-unity-developer-xvi6109026
3,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
4,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
5,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
6,Tuyển PHP Developer Làm việc tại nhà,https://vn.joboko.com/viec-lam-tuyen-php-developer-lam-viec-tai-nha-xvi6116288
7,Project Leader/ Quản lý dự án,https://vn.joboko.com/viec-lam-project-leader-quan-ly-du-an-xvi5800820
8,Software Quality Support Intern,https://vn.joboko.com/viec-lam-software-quality-support-intern-xvi6108723
9,Thực Tập Sinh IT Tiếng Nhật N3,https://vn.joboko.com/viec-lam-thuc-tap-sinh-it-tieng-nhat-n3-xvi6108747
10,BACKEND - GO - MIDDLE,https://vn.joboko.com/viec-lam-backend-go-middle-xvi6095568
11,Lập trình viên .Net C#,https://vn.joboko.com/viec-lam-lap-trinh-vien-net-c-xvi6112144
12,Kỹ sư Phát triển Phần mềm Nhúng Embedded Engineer,https://vn.joboko.com/viec-lam-ky-su-phat-trien-phan-mem-nhung-embedded-engineer-xvi6110200
13,Project Manager PM,https://vn.joboko.com/viec-lam-project-manager-pm-xvi6112261
14,TUYỂN DỤNG LẬP TRÌNH VIÊN MOBILE YÊU CẦU PYTHON/ DJANGO,https://vn.joboko.com/viec-lam-tuyen-dung-lap-trinh-vien-mobile-yeu-cau-python-django-xvi6110901
15,Nhân viên phân tích nghiệp vụ BA,https://vn.joboko.com/viec-lam-nhan-vien-phan-tich-nghiep-vu-ba-xvi6098110
16,Chuyên Viên Quản Trị Dự Án,https://vn.joboko.com/viec-lam-chuyen-vien-quan-tri-du-an-xvi6066021
17,KỸ THUẬT VIÊN BẢO HÀNH MÁY TÍNH,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-sua-chua-bao-hanh-may-tinh-xvi6069606
18,Nhân Viên Bán Hàng Kỹ Thuật Máy Tính,https://vn.joboko.com/viec-lam-nhan-vien-ban-hang-ky-thuat-may-tinh-xvi6067495
19,Process Quality Assurance 3-8 Years Experience,https://vn.joboko.com/viec-lam-process-quality-assurance-3-8-years-experience-xvi6066510
20,Intern/Junior Security Engineer,https://vn.joboko.com/viec-lam-intern-junior-security-engineer-xvi6066164
21,Senior Developer,https://vn.joboko.com/viec-lam-senior-developer-xvi5984526
22,Lập Trình Viên/Software Engineering .NET,https://vn.joboko.com/viec-lam-lap-trinh-vien-software-engineering-net-xvi6098122
23,Business Analyst BA/Test - Team Leader,https://vn.joboko.com/viec-lam-business-analyst-ba-test-team-leader-xvi5952516
24,Backend Developer Nodejs,https://vn.joboko.com/viec-lam-backend-developer-nodejs-xvi6064634
25,Chuyên viên Phân tích nghiệp vụ BA,https://vn.joboko.com/viec-lam-chuyen-vien-phan-tich-nghiep-vu-ba-xvi6080708
26,Intern QA engineer,https://vn.joboko.com/viec-lam-intern-qa-engineer-xvi6066152
27,Senior Devops Engineer,https://vn.joboko.com/viec-lam-senior-devops-engineer-xvi6112131
28,Nhân viên Kinh doanh Phần mềm,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-phan-mem-xvi5844986
29,Lập trình Backend Java,https://vn.joboko.com/viec-lam-lap-trinh-backend-java-xvi6114915
30,Nhân viên QA,https://vn.joboko.com/viec-lam-nhan-vien-qa-xvi6104534
31,Chuyên viên kiểm thử phần mềm - manual test,https://vn.joboko.com/viec-lam-chuyen-vien-kiem-thu-phan-mem-manual-test-xvi6114931
32,Tuyển Full-Stack Developer,https://vn.joboko.com/viec-lam-tuyen-full-stack-developer-xvi6062722
33,Nhân Viên Kinh Doanh / Cross Selling - Giải Pháp Kế Toán/Hóa Đơn Điện Tử/Chữ Ký Số MISA Data Có Sẵn,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-cross-selling-giai-phap-ke-toan-hoa-don-dien-tu-chu-ky-so-misa-data-co-san-xvi6062214
34,iOS Developer,https://vn.joboko.com/viec-lam-ios-developer-xvi6060200
35,USER ORIENTED TESTERS,https://vn.joboko.com/viec-lam-user-oriented-testers-xvi6104349
