stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Nhân Viên Kỹ Thuật Viên Viễn Thông Không Yêu Cầu Kinh Nghiệm,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-vien-vien-thong-khong-yeu-cau-kinh-nghiem-tan-binh-tp-ho-chi-minh-di-lam-ngay-xvi5386528
5,Nhân Viên Kinh Doanh Thị Trường,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-thi-truong-xvi5977249
6,Nhân Viên IT,https://vn.joboko.com/viec-lam-nhan-vien-it-xvi6113093
7,Nhân Viên Vận Hành Kỹ Thuật Trung Tâm Thương Mại,https://vn.joboko.com/viec-lam-nhan-vien-van-hanh-ky-thuat-trung-tam-thuong-mai-xvi6081606
8,Business Development Executive (Global),https://vn.joboko.com/viec-lam-business-development-executive-global-xvi6070393
9,Nhân Viên Phân Tích Thị Trường,https://vn.joboko.com/viec-lam-nhan-vien-phan-tich-thi-truong-xvi6061073
10,Video Editor,https://vn.joboko.com/viec-lam-video-editor-xvi6069418
11,Nhân Viên Quay Video Editor Tiktok,https://vn.joboko.com/viec-lam-nhan-vien-quay-video-editor-tiktok-xvi6075578
12,Kỹ Sư Viễn Thông - Đi Làm Ngay,https://vn.joboko.com/viec-lam-ky-su-vien-thong-di-lam-ngay-xvi5956709
13,Nhân Viên Agency (Quản Lý Idol Và Vận Hành Livestream),https://vn.joboko.com/viec-lam-nhan-vien-agency-quan-ly-idol-va-van-hanh-livestream-xvi6070718
14,Video Editor/ Quay Dựng Video,https://vn.joboko.com/viec-lam-video-editor-quay-dung-video-xvi6076234
15,Đại Diện Kinh Doanh Dự Án (Lĩnh Vực CNTT),https://vn.joboko.com/viec-lam-dai-dien-kinh-doanh-du-an-linh-vuc-cntt-xvi6096003
16,Nhân Viên Kinh Doanh,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-xvi6070610
17,Nhân Viên Video Editor,https://vn.joboko.com/viec-lam-nhan-vien-video-editor-xvi6054752
18,Nhân Viên Kinh Doanh Làm Việc Tại VNPT,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-lam-viec-tai-vnpt-xvi6079875
19,NHÂN VIÊN IT,https://vn.joboko.com/viec-lam-nhan-vien-it-xvi5802987
20,Chuyên Viên IT / Quản Trị Website (PHP),https://vn.joboko.com/viec-lam-chuyen-vien-it-quan-tri-website-php-xvi6088963
21,Giám Sát MEP - Ưu Tiên 1-5 Năm Kinh Nghiệm,https://vn.joboko.com/viec-lam-giam-sat-mep-uu-tien-1-5-nam-kinh-nghiem-xvi6059398
22,"Nhân Viên Kinh Doanh Điện Mặt Trời Nghỉ T7, CN Thu Nhập Từ 10 - 20 Triệu",https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-dien-mat-troi-nghi-t7-cn-thu-nhap-tu-10-20-trieu-xvi6077717
23,Kỹ Thuật Điện - Tự Động Hoá,https://vn.joboko.com/viec-lam-ky-thuat-dien-tu-dong-hoa-xvi6072267
24,Thiết Kế 3D,https://vn.joboko.com/viec-lam-thiet-ke-3d-xvi6111026
25,Video Editor,https://vn.joboko.com/viec-lam-video-editor-xvi6071692
26,Chuyên Viên Quay Dựng Media/ Video Editor Thu Nhập Cao - Nhận Việc Ngay,https://vn.joboko.com/viec-lam-chuyen-vien-quay-dung-media-video-editor-thu-nhap-cao-nhan-viec-ngay-xvi6053102
27,Nhân Viên Kinh Doanh Công Nghệ Thông Tin MobiFone,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-cong-nghe-thong-tin-mobifone-xvi6054843
28,Nhân Viên Thiết Kế (Chụp Ảnh Sản Phẩm),https://vn.joboko.com/viec-lam-nhan-vien-thiet-ke-chup-anh-san-pham-xvi6084713
29,"Kỹ Sư Viễn Thông - Khảo Sát, Thiết Kế Hạ Tầng Viễn Thông",https://vn.joboko.com/viec-lam-ky-su-vien-thong-khao-sat-thiet-ke-ha-tang-vien-thong-xvi5964077
30,Giáo Viên Fulltime Công Nghệ Thông Tin[Hồ Chí Minh/ Bình Dương],https://vn.joboko.com/viec-lam-giao-vien-fulltime-cong-nghe-thong-tin-ho-chi-minh-binh-duong-xvi6074292
31,Nhân Viênquay Dựng/Video Editor,https://vn.joboko.com/viec-lam-nhan-vienquay-dung-video-editor-xvi6070054
