stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Trưởng Đơn Vị Nguồn Cung Ứng Và Thu Mua Dừa Trái,https://vn.joboko.com/viec-lam-truong-don-vi-nguon-cung-ung-va-thu-mua-dua-trai-xvi5980511
5,Nhân Viên Vận Hành Máy,https://vn.joboko.com/viec-lam-nhan-vien-van-hanh-may-xvi6111541
6,Nhân Viên Agency (Quản Lý Idol Và Vận Hành Livestream),https://vn.joboko.com/viec-lam-nhan-vien-agency-quan-ly-idol-va-van-hanh-livestream-xvi6070718
7,CTV Kinh Doanh - Loa Thanh Toán MBBank,https://vn.joboko.com/viec-lam-ctv-kinh-doanh-loa-thanh-toan-mbbank-xvi6070948
8,Nhân Viên Bán Hàng Điện Máy PC PS Promoter,https://vn.joboko.com/viec-lam-nhan-vien-ban-hang-dien-may-pc-ps-promoter-xvi6095946
9,Kỹ Sư Hiện Trường,https://vn.joboko.com/viec-lam-ky-su-hien-truong-xvi6110826
10,Nhân Viên IT Phần Mềm,https://vn.joboko.com/viec-lam-nhan-vien-it-phan-mem-xvi6075012
11,Nhân viên Kỹ Thuật Phần Mềm,https://vn.joboko.com/viec-lam-cellphones-nhan-vien-ky-thuat-phan-mem-xvi4487263
