stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Nhân Viên Kỹ Thuật,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-xvi6100175
5,Chỉ Huy Phó Công Trình - MEP,https://vn.joboko.com/viec-lam-chi-huy-pho-cong-trinh-mep-xvi6056926
6,Nhân Viên Kinh Doanh Kỹ Thuật - Sales Engineer,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-ky-thuat-sales-engineer-xvi6079139
7,Nhân Viên Agency (Quản Lý Idol Và Vận Hành Livestream),https://vn.joboko.com/viec-lam-nhan-vien-agency-quan-ly-idol-va-van-hanh-livestream-xvi6070718
8,NHÂN VIÊN IT,https://vn.joboko.com/viec-lam-nhan-vien-it-xvi6072414
