stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,TUYỂN DỤNG NHÂN VIÊN GIÁM SÁT DỮ LIỆU,https://vn.joboko.com/viec-lam-tuyen-dung-nhan-vien-giam-sat-du-lieu-xvi6103147
5,Nhân Viên Tư Vấn,https://vn.joboko.com/viec-lam-nhan-vien-tu-van-xvi6110629
6,Nhan Viên Hành Chính Nhân Sự,https://vn.joboko.com/viec-lam-nhan-vien-hanh-chinh-nhan-su-xvi6067843
7,Kỹ Sư Phần Mềm,https://vn.joboko.com/viec-lam-ky-su-phan-mem-xvi6024602
8,Nhân Viên Agency (Quản Lý Idol Và Vận Hành Livestream),https://vn.joboko.com/viec-lam-nhan-vien-agency-quan-ly-idol-va-van-hanh-livestream-xvi6070718
9,Kỹ Thuật Sản Xuất,https://vn.joboko.com/viec-lam-ky-thuat-san-xuat-xvi6070196
10,"AI Engineer Python, ,TypeScrip",https://vn.joboko.com/viec-lam-ai-engineer-python-typescrip-xvi6068646
11,Kỹ Thuật Viên Kỹ Thuật Điện,https://vn.joboko.com/viec-lam-ky-thuat-vien-ky-thuat-dien-xvi6070194
12,Kỹ Thuật Viên Thiết Bị SMT,https://vn.joboko.com/viec-lam-ky-thuat-vien-thiet-bi-smt-xvi6070193
13,Nhân Viên IT,https://vn.joboko.com/viec-lam-nhan-vien-it-xvi6024380
14,Video Editor,https://vn.joboko.com/viec-lam-video-editor-xvi6086372
15,Giám Đốc Công Nghệ Thông Tin (CIO/IT Director),https://vn.joboko.com/viec-lam-giam-doc-cong-nghe-thong-tin-cio-it-director-xvi6029548
16,AI Engineer,https://vn.joboko.com/viec-lam-ai-engineer-xvi6069335
17,Manufacture Test Engineer,https://vn.joboko.com/viec-lam-manufacture-test-engineer-xvi6091964
18,Kỹ Thuật Viên Sản Xuất,https://vn.joboko.com/viec-lam-ky-thuat-vien-san-xuat-xvi6071509
19,Chuyên Viên Thiết Kế Đồ Họa,https://vn.joboko.com/viec-lam-chuyen-vien-thiet-ke-do-hoa-xvi6091835
20,Kỹ Sư Kết Cấu,https://vn.joboko.com/viec-lam-ky-su-ket-cau-xvi6086001
21,Kỹ Sư Cơ Điện (M&E),https://vn.joboko.com/viec-lam-ky-su-co-dien-m-e-xvi6003939
22,Nhân Viên Kinh Doanh/Sales Thị Trường (Chỉ Tuyển Nam) Mảng Thiết Bị Điện Lương Cứng Không Phụ Thuộc Doanh Số - Thu Nhập 13-18 Triệu/Tháng - Hà Nội,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-sales-thi-truong-chi-tuyen-nam-mang-thiet-bi-dien-luong-cung-khong-phu-thuoc-doanh-so-thu-nhap-13-18-trieu-thang-ha-noi-xvi5792707
23,Kỹ Sư Điện Không Yêu Cầu Kinh Nghiệm,https://vn.joboko.com/viec-lam-ky-su-dien-khong-yeu-cau-kinh-nghiem-xvi6083912
24,NHÂN VIÊN TƯ VẤN,https://vn.joboko.com/viec-lam-ninh-binh-nhan-vien-tu-van-xvi5885369
25,Nhân Viên Tư Vấn - Phần Mềm Top 1,https://vn.joboko.com/viec-lam-nhan-vien-tu-van-phan-mem-top-1-xvi6061399
26,Chuyên Viên Tư Vấn Phần Mềm KiotViet,https://vn.joboko.com/viec-lam-chuyen-vien-tu-van-phan-mem-kiotviet-xvi6061398
27,[NINH BÌNH] CHUYÊN VIÊN KINH DOANH,https://vn.joboko.com/viec-lam-ninh-binh-chuyen-vien-kinh-doanh-xvi6039041
28,Nhân Viên Kinh Doanh - Thanh Hóa - Ninh Bình,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-thanh-hoa-ninh-binh-xvi4677889
29,Chuyên Viên Kinh Doanh - Phát Triển Thị Trường,https://vn.joboko.com/viec-lam-chuyen-vien-kinh-doanh-phat-trien-thi-truong-xvi6060438
