stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Nhân Viên Kỹ Thuật Viễn Thông,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-vien-thong-xvi6102332
5,Nhân Viên Hệ Thống ( IT),https://vn.joboko.com/viec-lam-nhan-vien-he-thong-it-xvi6101320
6,Kĩ Sư Mep,https://vn.joboko.com/viec-lam-ki-su-mep-xvi6113328
7,Kỹ Thuật Cấp Thoát Nước,https://vn.joboko.com/viec-lam-ky-thuat-cap-thoat-nuoc-xvi6080859
8,Phó Ban Quản Lí Dự Án MEP,https://vn.joboko.com/viec-lam-pho-ban-quan-li-du-an-mep-xvi6113198
9,Chuyên Viên/Chuyên Viên Cao Cấp Phát Triển Sản Phẩm Khách Hàng Doanh Nghiệp - Hội Sở Hà Đông,https://vn.joboko.com/viec-lam-chuyen-vien-chuyen-vien-cao-cap-phat-trien-san-pham-khach-hang-doanh-nghiep-hoi-so-ha-dong-xvi6098775
10,Nhân Viên Cơ Điện,https://vn.joboko.com/viec-lam-nhan-vien-co-dien-xvi5879059
11,Chuyên Viên Phòng Kỹ Thuật Thiết Bị (FE),https://vn.joboko.com/viec-lam-chuyen-vien-phong-ky-thuat-thiet-bi-fe-xvi6028763
12,Kỹ Sư PCB - Phòng Kỹ Thuật Sản Xuất (PE),https://vn.joboko.com/viec-lam-ky-su-pcb-phong-ky-thuat-san-xuat-pe-xvi6006346
13,Nhân Viên Agency (Quản Lý Idol Và Vận Hành Livestream),https://vn.joboko.com/viec-lam-nhan-vien-agency-quan-ly-idol-va-van-hanh-livestream-xvi6070718
14,Trưởng Phòng Kinh Doanh - Bạc Liêu,https://vn.joboko.com/viec-lam-truong-phong-kinh-doanh-bac-lieu-xvi6062636
15,"Nhân Viên Tư Vấn Bán Hàng Tại Phường Hòa Bình, Phú Thọ (Thành Phố Hoà Bình Cũ)",https://vn.joboko.com/viec-lam-nhan-vien-tu-van-ban-hang-tai-phuong-hoa-binh-phu-tho-thanh-pho-hoa-binh-cu-xvi5995750
16,Nhân Viên Kỹ Thuật Viên Hãng Canon,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-vien-hang-canon-di-lam-ngay-xvi5824226
17,CTV Kinh Doanh - Loa Thanh Toán MBBank,https://vn.joboko.com/viec-lam-ctv-kinh-doanh-loa-thanh-toan-mbbank-xvi6070948
18,Nhân Viên Quản Lý Bộ Phận Cơ Điện,https://vn.joboko.com/viec-lam-nhan-vien-quan-ly-bo-phan-co-dien-xvi6092983
19,Kỹ Sư Ống Gió / Biết Sử Dụng AutoCAD / Nhà Máy Bình Dương / Đi Làm Ngay,https://vn.joboko.com/viec-lam-ky-su-ong-gio-biet-su-dung-autocad-nha-may-binh-duong-di-lam-ngay-xvi6078727
20,"Chăm Sóc Khách Hàng - Không Áp Doanh Số, Cứng 9-13tr + Thưởng",https://vn.joboko.com/viec-lam-cham-soc-khach-hang-hai-phong-ho-chi-minh-khong-ap-doanh-so-luong-cung-9-13tr-thuong-xvi5910764
21,Nhân Viên Bảo Trì,https://vn.joboko.com/viec-lam-nhan-vien-bao-tri-xvi6071566
22,Kỹ Sư Kinh Doanh,https://vn.joboko.com/viec-lam-ky-su-kinh-doanh-xvi6095640
23,Sales Executive / Business Development - Solar Power Industry (Looking for 2 People),https://vn.joboko.com/viec-lam-sales-executive-business-development-solar-power-industry-looking-for-2-people-xvi6117386
24,Xây Dựng Nền Tảng Số Quản Trị Bền Vững Ngành Tôm (SSVN) Dự Án Quản Trị Bền Vững Ngành Tôm,https://vn.joboko.com/viec-lam-xay-dung-nen-tang-so-quan-tri-ben-vung-nganh-tom-ssvn-du-an-quan-tri-ben-vung-nganh-tom-xvi6112497
25,Nhân viên Kỹ Thuật Phần Mềm,https://vn.joboko.com/viec-lam-cellphones-nhan-vien-ky-thuat-phan-mem-xvi4487263
