stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Nhân Viên Thiết Kế Cơ khí và Triển Khai Dự Án,https://vn.joboko.com/viec-lam-nhan-vien-thiet-ke-co-khi-va-trien-khai-du-an-xvi6117509
5,Nhân Viên Triển Khai Dự Án (Cơ khí/ Điện/ Tự động hóa),https://vn.joboko.com/viec-lam-nhan-vien-trien-khai-du-an-co-khi-dien-tu-dong-hoa-xvi5974150
6,Lập Trình Viên,https://vn.joboko.com/viec-lam-lap-trinh-vien-xvi6087732
7,Nhân Viên Agency (Quản Lý Idol Và Vận Hành Livestream),https://vn.joboko.com/viec-lam-nhan-vien-agency-quan-ly-idol-va-van-hanh-livestream-xvi6070718
8,MEP Engineer (Kỹ Sư Cơ Điện),https://vn.joboko.com/viec-lam-mep-engineer-ky-su-co-dien-xvi6008785
9,Kỹ Thuật Viên Sửa Chữa,https://vn.joboko.com/viec-lam-ky-thuat-vien-sua-chua-xvi5869886
