stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Nhân viên Kinh doanh,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-xvi5891654
5,Nhân Viên Tư Vấn,https://vn.joboko.com/viec-lam-nhan-vien-tu-van-xvi6110629
6,Cloud Network Engineer AWS,https://vn.joboko.com/viec-lam-cloud-network-engineer-aws-xvi6110398
7,Nhân Viên Kinh Doanh,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-xvi5947571
8,Kỹ Thuật Hiện Trường Cơ Điện,https://vn.joboko.com/viec-lam-ky-thuat-hien-truong-co-dien-xvi6095456
9,ERP Business Analyst (SAP S/4Hana),https://vn.joboko.com/viec-lam-erp-business-analyst-sap-s-4hana-xvi6097847
10,"Nhân Viên Kinh Doanh Phần Mềm Quản Lý Bán Hàng (Thu Nhập 15-30tr/Tháng, Không Yêu Cầu Kinh Nghiệm)",https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-phan-mem-quan-ly-ban-hang-thu-nhap-15-30tr-thang-khong-yeu-cau-kinh-nghiem-xvi6019252
11,Nhân Viên Kỹ Sư Điện,https://vn.joboko.com/viec-lam-nhan-vien-ky-su-dien-xvi6076180
12,Nhân Viên Thiết Kế Đồ Họa,https://vn.joboko.com/viec-lam-nhan-vien-thiet-ke-do-hoa-xvi6053365
13,Quản Lý Team Kinh Doanh Online,https://vn.joboko.com/viec-lam-quan-ly-team-kinh-doanh-online-xvi6018612
