stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Trưởng Ban Quản Lí Dự Án,https://vn.joboko.com/viec-lam-truong-ban-quan-li-du-an-xvi6113835
5,Kỹ Sư Tự Động Hóa,https://vn.joboko.com/viec-lam-ky-su-tu-dong-hoa-plc-robot-xvi5670709
6,"Nhân Viên Kinh Doanh Phần Mềm Quản Lý Bán Hàng (Thu Nhập 15-30tr/Tháng, Không Yêu Cầu Kinh Nghiệm)",https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-phan-mem-quan-ly-ban-hang-thu-nhap-15-30tr-thang-khong-yeu-cau-kinh-nghiem-xvi6019252
7,Ruby On Rails Developer Ruby/ AWS/ Azure/ GCP,https://vn.joboko.com/viec-lam-ruby-on-rails-developer-ruby-aws-azure-gcp-xvi6067603
8,Nhân Viên IT,https://vn.joboko.com/viec-lam-nhan-vien-it-xvi6066522
9,Nhân Viên Agency (Quản Lý Idol Và Vận Hành Livestream),https://vn.joboko.com/viec-lam-nhan-vien-agency-quan-ly-idol-va-van-hanh-livestream-xvi6070718
10,Nhân Viên Kỹ Thuật,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-xvi6103480
11,Chuyên Viên Vận hành NOC,https://vn.joboko.com/viec-lam-chuyen-vien-van-hanh-noc-xvi6082651
12,Kỹ Sư Robot_Không Yc Kinh Nghiệm,https://vn.joboko.com/viec-lam-ky-su-robot-khong-yc-kinh-nghiem-xvi6065121
13,Nhân Viên Lập Trình .Net,https://vn.joboko.com/viec-lam-nhan-vien-lap-trinh-net-xvi6074865
14,"Architectural Engineer (for Construction, Labor contract Till June 2026)",https://vn.joboko.com/viec-lam-architectural-engineer-for-construction-labor-contract-till-june-2026-xvi6081288
15,Kỹ Sư Điện [Hỗ Trợ Ăn Ở],https://vn.joboko.com/viec-lam-ky-su-dien-ho-tro-an-o-xvi6105079
16,Kĩ Sư Vận Hành Điện Gió Thu Nhập Từ 22- 30 Triệu,https://vn.joboko.com/viec-lam-ki-su-van-hanh-dien-gio-thu-nhap-tu-22-30-trieu-xvi6005155
17,"Nhân Viên Tư Vấn Bán Hàng/ Kỹ Thuật Tại Ngã Ba Formosa, Thị Xã Kỳ Anh, Tỉnh Hà Tĩnh",https://vn.joboko.com/viec-lam-nhan-vien-tu-van-ban-hang-ky-thuat-tai-nga-ba-formosa-thi-xa-ky-anh-tinh-ha-tinh-xvi5906581
