stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Kỹ Thuật Điện - Nước,https://vn.joboko.com/viec-lam-ky-thuat-dien-nuoc-xvi6104992
5,"Nhân Viên Kỹ Thuật Bảo Hành (Thiết Bị, Máy Móc)",https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-bao-hanh-thiet-bi-may-moc-xvi6101589
6,[Hilton] IT Officer,https://vn.joboko.com/viec-lam-hilton-it-officer-xvi6034755
7,Kỹ Sư Điện,https://vn.joboko.com/viec-lam-ky-su-dien-xvi6038588
8,Kỹ Sư HVAC (Hệ Thống Chiller/Ống Gió),https://vn.joboko.com/viec-lam-ky-su-hvac-he-thong-chiller-ong-gio-xvi6044872
9,Nhân Viên Agency (Quản Lý Idol Và Vận Hành Livestream),https://vn.joboko.com/viec-lam-nhan-vien-agency-quan-ly-idol-va-van-hanh-livestream-xvi6070718
10,Kỹ Sư Điện Lương Cạnh Tranh,https://vn.joboko.com/viec-lam-ky-su-dien-luong-canh-tranh-xvi6092677
11,Nhân Viên Giám Sát (Lĩnh Vực: Điện Nhẹ),https://vn.joboko.com/viec-lam-nhan-vien-giam-sat-linh-vuc-dien-nhe-xvi6092429
12,Trợ Lý Vùng - Thạo Tin Học,https://vn.joboko.com/viec-lam-tro-ly-vung-thao-tin-hoc-xvi6082448
13,Nhân Viên Kỹ Thuật Viên Hãng Canon,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-vien-hang-canon-di-lam-ngay-xvi5824226
14,Business Development (Sales),https://vn.joboko.com/viec-lam-business-development-sales-xvi6071067
15,Kỹ Sư Tự Động Hoá (BMS & RCU) - Thu Nhập 12-25 Triệu (Chưa Có Kinh Nghiệm Sẽ Được Đào Tạo),https://vn.joboko.com/viec-lam-ky-su-tu-dong-hoa-bms-rcu-thu-nhap-12-25-trieu-chua-co-kinh-nghiem-se-duoc-dao-tao-xvi6026869
16,Nhân Viên Bảo Trì Cơ Điện,https://vn.joboko.com/viec-lam-nhan-vien-bao-tri-co-dien-xvi6074849
17,[Kiên Giang] KỸ SƯ CÔNG NGHỆ THÔNG TIN - PHẦN CỨNG,https://vn.joboko.com/viec-lam-kien-giang-ky-su-cong-nghe-thong-tin-phan-cung-xvi6091575
18,Thợ Lắp Đặt Đèn Trang Trí,https://vn.joboko.com/viec-lam-tho-lap-dat-den-trang-tri-xvi6105914
19,Nhân Viên Kinh Doanh Tư Vấn Phần Mềm Tại Văn Phòng,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-tu-van-phan-mem-tai-van-phong-xvi6096531
20,Nhân Viên Giám Sát Hiện Trường Điện Nhẹ / Kỹ Sư Giám Sát Cơ Điện /Kỹ Thuật Triển Khai Hạ Tầng Điện Nhẹ,https://vn.joboko.com/viec-lam-nhan-vien-giam-sat-hien-truong-dien-nhe-ky-su-giam-sat-co-dien-ky-thuat-trien-khai-ha-tang-dien-nhe-xvi6106717
21,Nhân viên Kinh doanh,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-xvi664884
22,Nhân Viên Hồ Sơ Dự Án (Hạng Mục Điện Nhẹ),https://vn.joboko.com/viec-lam-nhan-vien-ho-so-du-an-hang-muc-dien-nhe-xvi6018923
23,"Cán Bộ Hồ Sơ Dự Án (Hạng Mục Điện Nhẹ) Tại Hà Nội, Thanh Hóa, Vũng Tàu, Phú Quốc, Đà Nẵng",https://vn.joboko.com/viec-lam-can-bo-ho-so-du-an-hang-muc-dien-nhe-tai-ha-noi-thanh-hoa-vung-tau-phu-quoc-da-nang-xvi6021537
24,[KIÊN GIANG] KỸ THUẬT VIÊN SỬA CHỮA ĐIỆN THOẠI,https://vn.joboko.com/viec-lam-kien-giang-ky-thuat-vien-sua-chua-dien-thoai-xvi5935053
