stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Nhân Viên Kỹ Thuật Bảo Hành,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-bao-hanh-xvi6094412
5,Nhân Viên Agency (Quản Lý Idol Và Vận Hành Livestream),https://vn.joboko.com/viec-lam-nhan-vien-agency-quan-ly-idol-va-van-hanh-livestream-xvi6070718
6,Nhân Viên Triển Khai Cơ Điện Và Năng Lượng,https://vn.joboko.com/viec-lam-nhan-vien-trien-khai-co-dien-va-nang-luong-xvi6009624
7,Technical Sales,https://vn.joboko.com/viec-lam-technical-sales-xvi6103963
8,Graphic Designer,https://vn.joboko.com/viec-lam-graphic-designer-xvi6097537
9,Nhân Viên Tư Vấn Bán Hàng/ Kỹ Thuật,https://vn.joboko.com/viec-lam-nhan-vien-tu-van-ban-hang-ky-thuat-xvi5869645
10,Back-End Developer,https://vn.joboko.com/viec-lam-back-end-developer-xvi6104017
11,Nhân Viên Vận Hành Thủy Điện,https://vn.joboko.com/viec-lam-nhan-vien-van-hanh-thuy-dien-xvi6096521
