stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Giảng Viên Công Nghệ Thông Tin/ Khoa Học Máy Tính,https://vn.joboko.com/viec-lam-giang-vien-cong-nghe-thong-tin-khoa-hoc-may-tinh-xvi5548077
5,[Hồng Ngự] Chuyên Viên IT,https://vn.joboko.com/viec-lam-hong-ngu-chuyen-vien-it-xvi6107154
6,Nhân Viên Bảo Trì - Điện Lạnh,https://vn.joboko.com/viec-lam-nhan-vien-bao-tri-dien-lanh-xvi6107845
7,Kế Toán Bán Hàng (Lĩnh Vực Phần Mềm),https://vn.joboko.com/viec-lam-ke-toan-ban-hang-linh-vuc-phan-mem-xvi6091795
8,Nhân Viên Agency (Quản Lý Idol Và Vận Hành Livestream),https://vn.joboko.com/viec-lam-nhan-vien-agency-quan-ly-idol-va-van-hanh-livestream-xvi6070718
9,Phó Phòng Kỹ Thuật Điện - Sản Xuất,https://vn.joboko.com/viec-lam-pho-phong-ky-thuat-dien-san-xuat-xvi6098832
10,Sport Scout,https://vn.joboko.com/viec-lam-sport-scout-xvi5977119
11,Kỹ Sư Quản Lý Dự Án,https://vn.joboko.com/viec-lam-ky-su-quan-ly-du-an-xvi6074478
12,Fullstack Web Developer (Làm Việc 5 Ngày/ Tuần),https://vn.joboko.com/viec-lam-fullstack-web-developer-lam-viec-5-ngay-tuan-xvi5969880
13,Giám Sát MEP - Ưu Tiên 1-5 Năm Kinh Nghiệm,https://vn.joboko.com/viec-lam-giam-sat-mep-uu-tien-1-5-nam-kinh-nghiem-xvi6059398
14,Nhân Viên Kỹ Thuật - Bán Hàng Phụ Gia Thực Phẩm,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-ban-hang-phu-gia-thuc-pham-xvi6068380
15,Nhân Viên Bán Hàng Điện Máy PC PS Promoter,https://vn.joboko.com/viec-lam-nhan-vien-ban-hang-dien-may-pc-ps-promoter-xvi6095946
16,Thợ Điên,https://vn.joboko.com/viec-lam-tho-dien-xvi6100406
17,Lập trình viên website remote PHP Laravel React Vue Fullstack,https://vn.joboko.com/viec-lam-lap-trinh-vien-website-remote-php-laravel-react-vue-fullstack-xvi6084270
18,Nhân Viên IT,https://vn.joboko.com/viec-lam-nhan-vien-it-xvi5976853
19,Nhân Viên IT (Biết Lập Trình),https://vn.joboko.com/viec-lam-nhan-vien-it-biet-lap-trinh-xvi6065275
20,Nhân Viên Cơ Điện,https://vn.joboko.com/viec-lam-nhan-vien-co-dien-xvi5892036
21,IT Phần cứng và Phần mềm,https://vn.joboko.com/viec-lam-it-phan-cung-va-phan-mem-xvi6090249
22,"Nhân Viên Kỹ Thuật Bảo Hành (Thiết Bị, Máy Móc)",https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-bao-hanh-thiet-bi-may-moc-xvi6086783
