stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Kỹ Sư Điện Trang Trại Chăn Nuôi,https://vn.joboko.com/viec-lam-ky-su-dien-trang-trai-chan-nuoi-xvi6113612
5,Giám Sát Thi Công/Kỹ Thuật Hiện Trường/Kỹ Thuật,https://vn.joboko.com/viec-lam-giam-sat-thi-cong-ky-thuat-hien-truong-ky-thuat-xvi6107555
6,HRIS Executive,https://vn.joboko.com/viec-lam-hris-executive-xvi3907862
7,Senior Software Quality Control Executive,https://vn.joboko.com/viec-lam-senior-software-quality-control-executive-xvi4957470
8,Chuyên viên Cấp cao Phân tích Dữ liệu,https://vn.joboko.com/viec-lam-chuyen-vien-cap-cao-phan-tich-du-lieu-xvi5086600
9,Senior Back End Development Executive,https://vn.joboko.com/viec-lam-senior-back-end-development-executive-xvi5023706
10,"Nhân Viên Kinh Doanh Phần Mềm Quản Lý Bán Hàng (Thu Nhập 15-30tr/Tháng, Không Yêu Cầu Kinh Nghiệm)",https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-phan-mem-quan-ly-ban-hang-thu-nhap-15-30tr-thang-khong-yeu-cau-kinh-nghiem-xvi6019252
11,Nhân Viên Chỉnh Sửa Ảnh Bất Động Sản - Real Estate Photo Editor Tại Huế/ Đà Nẵng,https://vn.joboko.com/viec-lam-nhan-vien-chinh-sua-anh-bat-dong-san-real-estate-photo-editor-tai-hue-da-nang-xvi5855568
12,Kỹ Sư Cơ- Điện,https://vn.joboko.com/viec-lam-ky-su-co-dien-dien-ctn-hvac-pccc-xvi5786466
13,Nhân Viên Agency (Quản Lý Idol Và Vận Hành Livestream),https://vn.joboko.com/viec-lam-nhan-vien-agency-quan-ly-idol-va-van-hanh-livestream-xvi6070718
14,Sport Scout,https://vn.joboko.com/viec-lam-sport-scout-xvi5977119
15,Kỹ Thuật Điện,https://vn.joboko.com/viec-lam-ky-thuat-dien-xvi6111853
16,Chuyên viên IT,https://vn.joboko.com/viec-lam-chuyen-vien-it-xvi6045187
17,QA Manager (May Mặc),https://vn.joboko.com/viec-lam-qa-manager-may-mac-xvi6108771
18,Multidisciplinary Designer (Full-Time - Remote),https://vn.joboko.com/viec-lam-multidisciplinary-designer-full-time-remote-xvi6086547
19,Giám Sát Mep,https://vn.joboko.com/viec-lam-giam-sat-mep-xvi6104463
20,Nhân Viên Kỹ Thuật Sctv,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-sctv-xvi6060948
21,Software QA Engineer (Remote),https://vn.joboko.com/viec-lam-software-qa-engineer-remote-xvi6102428
22,Thiết Kế Đồ Họa (Graphic Design),https://vn.joboko.com/viec-lam-thiet-ke-do-hoa-graphic-design-xvi6110057
23,Nhân Viên Kỹ Thuật,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-xvi6104461
24,Nhân Viên Kỹ Thuật - Bảo Trì,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-bao-tri-m-e-xvi5834737
25,"Nhân Viên Kỹ Thuật - Bình Dương , Lâm Đồng",https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-binh-duong-lam-dong-xvi6087044
26,IT INFRASTRUCTURE EXECUTIVE,https://vn.joboko.com/viec-lam-it-infrastructure-executive-xvi1741014
27,Nhân Viên Kỹ Thuật Bảo Trì Điện Nước,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-bao-tri-dien-nuoc-xvi6010005
28,[ĐÀ LẠT] KỸ THUẬT VIÊN SỬA CHỮA ĐIỆN THOẠI,https://vn.joboko.com/viec-lam-da-lat-ky-thuat-vien-sua-chua-dien-thoai-xvi5939314
29,|Lâm Đồng| - Nhân Viên Kinh Doanh Phần Mềm,https://vn.joboko.com/viec-lam-lam-dong-nhan-vien-kinh-doanh-phan-mem-xvi4566845
30,Giảng Viên Ngành Công Nghệ Thông Tin - Trường Đại Học Yersin Đà Lạt,https://vn.joboko.com/viec-lam-giang-vien-nganh-cong-nghe-thong-tin-truong-dai-hoc-yersin-da-lat-xvi4314159
31,Kỹ Thuật Viên Âm Thanh Ánh Sáng (A/V Technician),https://vn.joboko.com/viec-lam-ky-thuat-vien-am-thanh-anh-sang-a-v-technician-xvi6059044
32,Senior Lead Full-stack .NET Developer,https://vn.joboko.com/viec-lam-senior-lead-full-stack-net-developer-xvi5967354
33,|Lâm Đồng| - Nhân Viên Kinh Doanh Phần Mềm,https://vn.joboko.com/viec-lam-lam-dong-nhan-vien-kinh-doanh-phan-mem-xvi5288482
34,Nhân Viên Kinh Doanh Phần Mềm,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-phan-mem-xvi6027557
35,Nhân Viên Kinh Doanh Phần Mềm- Được Đào Tạo.,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-phan-mem-duoc-dao-tao-xvi5923554
