stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Cloud Network Engineer AWS,https://vn.joboko.com/viec-lam-cloud-network-engineer-aws-xvi6110398
5,Nhân Viên Kỹ Thuật Bảo Trì Điện,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-bao-tri-dien-xvi6072060
6,ERP Business Analyst (SAP S/4Hana),https://vn.joboko.com/viec-lam-erp-business-analyst-sap-s-4hana-xvi6097847
7,Cộng Tác Viên Kinh Doanh Phần Mềm & AI,https://vn.joboko.com/viec-lam-cong-tac-vien-kinh-doanh-phan-mem-ai-xvi6058669
8,Nhân Viên Lập Trình Backend,https://vn.joboko.com/viec-lam-nhan-vien-lap-trinh-backend-xvi6077943
9,Nhân Viên Lập Trình Backend,https://vn.joboko.com/viec-lam-nhan-vien-lap-trinh-backend-xvi6088370
10,Nhân Viên Agency (Quản Lý Idol Và Vận Hành Livestream),https://vn.joboko.com/viec-lam-nhan-vien-agency-quan-ly-idol-va-van-hanh-livestream-xvi6070718
11,Nhân Viên Kinh Doanh Thiết Bị Điện Chiếu Sáng,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-thiet-bi-dien-chieu-sang-xvi6113249
12,"CTV Bán Hàng Dịch Vụ , Phần Mềm",https://vn.joboko.com/viec-lam-ctv-ban-hang-dich-vu-phan-mem-xvi6103232
13,Nhân Viên R&D (Thực Phẩm) - Thu Nhập Up To 12Tr (Bình Phước),https://vn.joboko.com/viec-lam-nhan-vien-r-d-thuc-pham-thu-nhap-up-to-12tr-binh-phuoc-xvi6111108
14,Nhân Viên Kinh Doanh Phần Mềm Nhân Sự,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-phan-mem-nhan-su-xvi6083350
15,Technical Consultant,https://vn.joboko.com/viec-lam-technical-consultant-xvi6073925
16,Nhân Viên R&D (Thực Phẩm) - Làm Việc Tại Đồng Nai (Bình Phước Cũ),https://vn.joboko.com/viec-lam-nhan-vien-r-d-thuc-pham-lam-viec-tai-dong-nai-binh-phuoc-cu-xvi6064954
17,Kỹ Thuật Viên Lắp Đặt,https://vn.joboko.com/viec-lam-ky-thuat-vien-lap-dat-xvi6066290
18,Chuyên Viên Bản Quyền Và Phát Triển Nội Dung Số,https://vn.joboko.com/viec-lam-chuyen-vien-ban-quyen-va-phat-trien-noi-dung-so-xvi6111905
19,Senior Full Stack AI Engineer Python + Flutter,https://vn.joboko.com/viec-lam-senior-full-stack-ai-engineer-python-flutter-xvi6101355
20,Nhân Viên Lập Trình BackEnd (WPF_Windows Presentation Foundation),https://vn.joboko.com/viec-lam-nhan-vien-lap-trinh-backend-wpf-windows-presentation-foundation-xvi6089904
21,Kỹ Sư Triển Khai,https://vn.joboko.com/viec-lam-ky-su-trien-khai-xvi6069316
22,Kỹ Sư Điện - Đi Làm Ngay,https://vn.joboko.com/viec-lam-ky-su-dien-di-lam-ngay-xvi6091030
23,Video Editor Executive - Thu Nhập Hấp Dẫn,https://vn.joboko.com/viec-lam-video-editor-executive-thu-nhap-hap-dan-xvi6074972
24,CTV Kinh Doanh Giải Pháp Công Nghệ,https://vn.joboko.com/viec-lam-ctv-kinh-doanh-giai-phap-cong-nghe-xvi6072058
25,"Senior Full-stack Developer C# ASP.NET, React",https://vn.joboko.com/viec-lam-senior-full-stack-developer-c-asp-net-react-xvi5978969
26,Nhân Viên Hành Chính Kiêm IT (Ưu Tiên Mới Ra Trường),https://vn.joboko.com/viec-lam-nhan-vien-hanh-chinh-kiem-it-uu-tien-moi-ra-truong-xvi6044121
27,Nhân Viên Kinh Doanh - Phú Yên,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-phu-yen-xvi4662491
28,Senior Automation Tester,https://vn.joboko.com/viec-lam-senior-automation-tester-xvi4985248
