stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,"Nhân Viên Kinh Doanh GPS, Camera Hành Trình",https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-gps-camera-hanh-trinh-xvi6104806
5,Trưởng Nhóm Kỹ Thuật Dự Án,https://vn.joboko.com/viec-lam-truong-nhom-ky-thuat-du-an-xvi6058413
6,"Nhân Viên Kinh Doanh Phần Mềm Quản Lý Bán Hàng (Thu Nhập 15-30tr/Tháng, Không Yêu Cầu Kinh Nghiệm)",https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-phan-mem-quan-ly-ban-hang-thu-nhap-15-30tr-thang-khong-yeu-cau-kinh-nghiem-xvi6019252
7,KHAI PHÁT GIÀY MẪU - DEVELOPER,https://vn.joboko.com/viec-lam-khai-phat-giay-mau-developer-xvi5730525
8,Nhân Viên Agency (Quản Lý Idol Và Vận Hành Livestream),https://vn.joboko.com/viec-lam-nhan-vien-agency-quan-ly-idol-va-van-hanh-livestream-xvi6070718
9,Kỹ Sư Điện/ Điện Tử,https://vn.joboko.com/viec-lam-ky-su-dien-dien-tu-xvi6055024
10,Nhân Viên Vận Hành Máy,https://vn.joboko.com/viec-lam-nhan-vien-van-hanh-may-xvi6091467
11,Giám Sát MEP - Ưu Tiên 1-5 Năm Kinh Nghiệm,https://vn.joboko.com/viec-lam-giam-sat-mep-uu-tien-1-5-nam-kinh-nghiem-xvi6059398
12,Lập trình viên Java,https://vn.joboko.com/viec-lam-lap-trinh-vien-java-xvi5786189
13,Kỹ Sư Thi Công - Shopdrawing M&E,https://vn.joboko.com/viec-lam-ky-su-thi-cong-shopdrawing-m-e-xvi6115298
14,[TIỀN GIANG] KỸ THUẬT VIÊN SỬA CHỮA ĐIỆN THOẠI,https://vn.joboko.com/viec-lam-tien-giang-ky-thuat-vien-sua-chua-dien-thoai-xvi5940140
