stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Business Development Executive (Automotive),https://vn.joboko.com/viec-lam-business-development-executive-automotive-xvi6092418
5,"Tư Vấn Viên (PNJ 234 Phan Đình Phùng & PNJ Vincom, TP Quảng Ngãi)",https://vn.joboko.com/viec-lam-tu-van-vien-pnj-234-phan-dinh-phung-pnj-vincom-tp-quang-ngai-xvi5932719
6,"Học Viên Hóa, Tuabin Điện,",https://vn.joboko.com/viec-lam-hoc-vien-hoa-tuabin-dien-xvi6097963
7,NHÂN VIÊN VẬN HÀNH ỨNG CỨU THÔNG TIN,https://vn.joboko.com/viec-lam-nhan-vien-van-hanh-ung-cuu-thong-tin-quang-ngai-xvi5418000
8,Nhân Viên Hỗ Trợ Kỹ Thuật ĐTDĐ / LAPTOP,https://vn.joboko.com/viec-lam-nhan-vien-ho-tro-ky-thuat-dtdd-laptop-tp-quang-ngai-quang-ngai-xvi5241515
9,Chuyên Viên/Chuyên Viên Cao Cấp Phát Triển Sản Phẩm Khách Hàng Doanh Nghiệp - Hội Sở Hà Đông,https://vn.joboko.com/viec-lam-chuyen-vien-chuyen-vien-cao-cap-phat-trien-san-pham-khach-hang-doanh-nghiep-hoi-so-ha-dong-xvi6098775
10,Nhân Viên Vận Hành Hệ Thống Xử Lý Nước Tại NM Hòa Phát Quảng Ngãi,https://vn.joboko.com/viec-lam-nhan-vien-van-hanh-he-thong-xu-ly-nuoc-tai-nm-hoa-phat-quang-ngai-xvi6059445
11,Kỹ Sư Cơ Điện/ Giám Sát MEP Từ 1 Năm Kinh Nghiệm,https://vn.joboko.com/viec-lam-ky-su-co-dien-giam-sat-mep-tu-1-nam-kinh-nghiem-xvi6070078
12,NHÂN VIÊN KỸ THUẬT MẠNG,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-mang-xvi5873496
13,Nhân Viên Agency (Quản Lý Idol Và Vận Hành Livestream),https://vn.joboko.com/viec-lam-nhan-vien-agency-quan-ly-idol-va-van-hanh-livestream-xvi6070718
14,NHÂN VIÊN VIDEO EDITOR - ƯU TIÊN NAM,https://vn.joboko.com/viec-lam-nhan-vien-video-editor-uu-tien-nam-xvi5879198
15,Trợ Lý Điều Phối,https://vn.joboko.com/viec-lam-tro-ly-dieu-phoi-xvi6081711
16,Học Viên Hóa( Không Yêu Cầu Kinh Nghiệm),https://vn.joboko.com/viec-lam-hoc-vien-hoa-khong-yeu-cau-kinh-nghiem-xvi6093978
17,"Học Viên Tuabin Điện, Lò Hơi, Hóa",https://vn.joboko.com/viec-lam-hoc-vien-tuabin-dien-lo-hoi-hoa-xvi6097973
18,Nhân Viên Lập Trình May Rập Cải Tiến,https://vn.joboko.com/viec-lam-nhan-vien-lap-trinh-may-rap-cai-tien-xvi6099166
19,Giám Sát Viên Cơ Điện - (M&E) Tại Hà Nội - Không Yêu Cầu Kinh Nghiệm,https://vn.joboko.com/viec-lam-giam-sat-vien-co-dien-m-e-tai-ha-noi-khong-yeu-cau-kinh-nghiem-xvi6113592
20,Kỹ Sư Giám Sát Điện - Điều Hoà - Cấp Thoát Nước,https://vn.joboko.com/viec-lam-ky-su-giam-sat-dien-dieu-hoa-cap-thoat-nuoc-xvi6082922
21,Nhân Viên Kinh Doanh - Quảng Ngãi,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-quang-ngai-xvi5359833
22,Nhân Viên Edit Video Ngắn,https://vn.joboko.com/viec-lam-nhan-vien-edit-video-ngan-xvi6056534
23,Kĩ Sư ME,https://vn.joboko.com/viec-lam-ki-su-me-xvi6046385
24,Nhân Viên Phân Tích Nghiệp Vụ,https://vn.joboko.com/viec-lam-nhan-vien-phan-tich-nghiep-vu-xvi5844590
25,Kỹ thuật IT,https://vn.joboko.com/viec-lam-ky-thuat-it-luong-tu-15-25-trieu-xvi5587443
