stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Kỹ Sư Điện Trang Trại Chăn Nuôi,https://vn.joboko.com/viec-lam-ky-su-dien-trang-trai-chan-nuoi-xvi6113612
5,Nhân Viên Kỹ Thuật Viễn Thông,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-vien-thong-xvi6079843
6,Nhân Viên Hỗ Trợ Kỹ Thuật ĐTDĐ/LAPTOP,https://vn.joboko.com/viec-lam-nhan-vien-ho-tro-ky-thuat-dtdd-laptop-pleiku-gia-lai-xvi5805663
7,Kỹ Sư Thiết Kế Hệ Thống Điều Hòa Không Khí,https://vn.joboko.com/viec-lam-ky-su-thiet-ke-he-thong-dieu-hoa-khong-khi-xvi5835782
8,Cộng Tác Viên Kinh Doanh Phần Mềm & AI,https://vn.joboko.com/viec-lam-cong-tac-vien-kinh-doanh-phan-mem-ai-xvi6058669
9,Nhân Viên Cơ Khí,https://vn.joboko.com/viec-lam-nhan-vien-co-khi-xvi6060625
10,Nhân Viên Agency (Quản Lý Idol Và Vận Hành Livestream),https://vn.joboko.com/viec-lam-nhan-vien-agency-quan-ly-idol-va-van-hanh-livestream-xvi6070718
11,Sport Scout,https://vn.joboko.com/viec-lam-sport-scout-xvi5977119
12,"CTV Bán Hàng Dịch Vụ , Phần Mềm",https://vn.joboko.com/viec-lam-ctv-ban-hang-dich-vu-phan-mem-xvi6103232
13,Nhân Viên Vận Hành Máy (Nhà Máy L'Amant),https://vn.joboko.com/viec-lam-nhan-vien-van-hanh-may-nha-may-l-amant-xvi6089459
14,Kỹ Sư Cơ Điện,https://vn.joboko.com/viec-lam-ky-su-co-dien-xvi6100552
15,Nhân Viên Kỹ Thuật Viễn Thông,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-vien-thong-xvi6083885
16,"Nhân Viên Tư Vấn Bán Hàng Tại Pleiku, Gia Lai",https://vn.joboko.com/viec-lam-nhan-vien-tu-van-ban-hang-tai-pleiku-gia-lai-xvi5999934
17,Nhân Viên Vận Hành Hệ Thống Bột,https://vn.joboko.com/viec-lam-nhan-vien-van-hanh-he-thong-bot-xvi6086156
18,CTV Kinh Doanh Giải Pháp Công Nghệ,https://vn.joboko.com/viec-lam-ctv-kinh-doanh-giai-phap-cong-nghe-xvi6072058
19,"Tuyển dụng nhân sự quản lý chất lượng Internet QA tại FPT Pleiku, Gia Lai",https://vn.joboko.com/viec-lam-tuyen-dung-nhan-su-quan-ly-chat-luong-internet-qa-tai-fpt-pleiku-gia-lai-xvi5615453
20,Kĩ Sư Vận Hành Điện Gió Thu Nhập Từ 22- 30 Triệu,https://vn.joboko.com/viec-lam-ki-su-van-hanh-dien-gio-thu-nhap-tu-22-30-trieu-xvi6005155
21,Kỹ Thuật Viên CNTT Hoặc Điện Tử Viễn Thông,https://vn.joboko.com/viec-lam-ky-thuat-vien-cntt-hoac-dien-tu-vien-thong-xvi6063397
22,Nhân Viên Tư Vấn Phần Mềm,https://vn.joboko.com/viec-lam-nhan-vien-tu-van-phan-mem-xvi6016795
23,Nhân Viên Kỹ Thuật,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-ky-su-dien-xvi5885861
24,AI Engineer,https://vn.joboko.com/viec-lam-ai-engineer-xvi5917658
25,FPT Telecom AyunPa dụng,https://vn.joboko.com/viec-lam-fpt-telecom-ayunpa-tuyen-dung-xvi3939187
26,Dụng Kỹ Thuật Viên Fpt Telecom Gia Lai,https://vn.joboko.com/viec-lam-tuyen-dung-ky-thuat-vien-fpt-telecom-gia-lai-xvi3939184
