stt,tên việc,link
1,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
2,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
4,Kỹ sư Triển khai Giải pháp/ Kỹ sư IoT,https://vn.joboko.com/viec-lam-ky-su-trien-khai-giai-phap-ky-su-iot-xvi6085421
5,DB API Developer,https://vn.joboko.com/viec-lam-db-api-developer-xvi6116259
6,Unity Game Developer,https://vn.joboko.com/viec-lam-unity-game-developer-xvi6100921
7,Nhân Viên Kỹ Thuật Trạm Viễn Thông Được Đào Tạo,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-tram-vien-thong-duoc-dao-tao-xvi6072131
8,Nhân viên Kinh doanh Sales Executive,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-sales-executive-xvi6114997
9,TUYỂN DỤNG LẬP TRÌNH VIÊN MOBILE YÊU CẦU PYTHON/ DJANGO,https://vn.joboko.com/viec-lam-tuyen-dung-lap-trinh-vien-mobile-yeu-cau-python-django-xvi6110901
10,Business Analyst & Project Manager - F&B,https://vn.joboko.com/viec-lam-business-analyst-project-manager-f-b-xvi6091182
11,QC Engineer - FPT Play,https://vn.joboko.com/viec-lam-qc-engineer-fpt-play-xvi6064642
12,Chuyên Viên Tư Vấn Giải Pháp Phần Mềm Chế Độ Tốt,https://vn.joboko.com/viec-lam-chuyen-vien-tu-van-giai-phap-phan-mem-che-do-tot-xvi6107144
13,Chuyên viên vận hành và kiểm thử phần mềm,https://vn.joboko.com/viec-lam-chuyen-vien-van-hanh-va-kiem-thu-phan-mem-xvi6061955
14,Nhân viên lập trình Back End,https://vn.joboko.com/viec-lam-nhan-vien-lap-trinh-back-end-xvi6061826
15,Nhân viên Kinh Doanh - Làm việc tại Phú Nhuận,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-lam-viec-tai-phu-nhuan-xvi6077632
