stt,tên việc,link
1,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
2,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
4,Junior/Middle Java,https://vn.joboko.com/viec-lam-junior-middle-java-xvi6108552
5,TUYỂN DỤNG LẬP TRÌNH VIÊN MOBILE YÊU CẦU PYTHON/ DJANGO,https://vn.joboko.com/viec-lam-tuyen-dung-lap-trinh-vien-mobile-yeu-cau-python-django-xvi6110901
6,MIDDLE iOS DEVELOPER,https://vn.joboko.com/viec-lam-middle-ios-developer-xvi6085335
7,THỰC TẬP SINH TIẾNG NHẬT,https://vn.joboko.com/viec-lam-thuc-tap-sinh-tieng-nhat-xvi6091185
8,Quản lý dự án Yêu cầu tiếng Nhật N2,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-tro-len-xvi6069023
9,Thực Tập Sinh Phần Mềm Ứng Dụng Công Nghệ,https://vn.joboko.com/viec-lam-thuc-tap-sinh-phan-mem-ung-dung-cong-nghe-xvi6107119
10,IT Manager BPO Industry,https://vn.joboko.com/viec-lam-it-manager-bpo-industry-xvi6103431
11,Generative AI Engineer,https://vn.joboko.com/viec-lam-generative-ai-engineer-xvi6081296
12,Business Analyst,https://vn.joboko.com/viec-lam-business-analyst-xvi6078539
13,Nhân viên Kinh doanh,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-xvi5891654
14,Nhân Viên Lắp Đặt Camera,https://vn.joboko.com/viec-lam-nhan-vien-lap-dat-camera-xvi6060267
15,Nhân viên kỹ thuật phần mềm,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-phan-mem-xvi6072327
16,Remote Senior Data Scientist 6-month contract,https://vn.joboko.com/viec-lam-data-scientist-xvi6066686
