stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,"Nhân Viên Bảo Trì Điện, Điện Lạnh",https://vn.joboko.com/viec-lam-nhan-vien-bao-tri-dien-dien-lanh-xvi6065312
5,KỸ SƯ LẬP TRÌNH CNC,https://vn.joboko.com/viec-lam-ky-su-lap-trinh-cnc-xvi6103627
6,Nhân Viên Cơ Điện - Cơ,https://vn.joboko.com/viec-lam-nhan-vien-co-dien-co-xvi6102789
7,Trưởng Phòng Cơ Điện,https://vn.joboko.com/viec-lam-truong-phong-co-dien-xvi6064665
8,Nhân Viên Kỹ Thuật Tòa Nhà ( Hà Nội- Hà Nam- Bắc Ninh),https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-toa-nha-ha-noi-ha-nam-bac-ninh-xvi6031175
9,Trưởng Ca Kỹ Thuật Nhà Máy,https://vn.joboko.com/viec-lam-truong-ca-ky-thuat-nha-may-xvi6053385
10,Trưởng Phòng Thử Nghiệm Máy Biến Áp,https://vn.joboko.com/viec-lam-truong-phong-thu-nghiem-may-bien-ap-xvi6001044
11,Nhân Viên Pricing And Data Analyst,https://vn.joboko.com/viec-lam-nhan-vien-pricing-and-data-analyst-xvi6019089
12,Kỹ Thuật Viên Vận Hành Hệ Thống Automation,https://vn.joboko.com/viec-lam-ky-thuat-vien-van-hanh-he-thong-automation-xvi5985296
13,Quản Lý Sản Xuất - Ngành Nghề Điện Tử SMT,https://vn.joboko.com/viec-lam-quan-ly-san-xuat-nganh-nghe-dien-tu-smt-xvi6018105
14,Nhân Viên Agency (Quản Lý Idol Và Vận Hành Livestream),https://vn.joboko.com/viec-lam-nhan-vien-agency-quan-ly-idol-va-van-hanh-livestream-xvi6070718
15,Nhân Viên Vận Hành Máy CNC,https://vn.joboko.com/viec-lam-nhan-vien-van-hanh-may-cnc-xvi6103290
16,Nhân Viên Vận Hành Máy SMT,https://vn.joboko.com/viec-lam-nhan-vien-van-hanh-may-smt-xvi6103472
17,Kỹ Sư IT Phần Mềm AP,https://vn.joboko.com/viec-lam-ky-su-it-phan-mem-ap-xvi5991753
18,IT Comtor Tiếng Hàn,https://vn.joboko.com/viec-lam-it-comtor-tieng-han-xvi6079488
19,Kỹ Thuật SMT - Điện Tử,https://vn.joboko.com/viec-lam-ky-thuat-smt-dien-tu-xvi6111468
20,Kỹ Sư Tự Động Hóa,https://vn.joboko.com/viec-lam-ky-su-tu-dong-hoa-xvi5914238
21,Kỹ Sư Thiết Bị SMT,https://vn.joboko.com/viec-lam-ky-su-thiet-bi-smt-xvi5865083
22,Giám Đốc Công Nghệ Thông Tin (CIO/IT Director),https://vn.joboko.com/viec-lam-giam-doc-cong-nghe-thong-tin-cio-it-director-xvi6029548
23,Trưởng Nhóm Bảo Trì,https://vn.joboko.com/viec-lam-truong-nhom-bao-tri-xvi6065908
24,Nhân Viên Bảo Trì Tự Động Hóa,https://vn.joboko.com/viec-lam-nhan-vien-bao-tri-tu-dong-hoa-xvi6073157
25,Giám Đốc Công Nghệ Thông Tin IT,https://vn.joboko.com/viec-lam-giam-doc-cong-nghe-thong-tin-it-xvi6074484
26,Trưởng Phòng PE,https://vn.joboko.com/viec-lam-truong-phong-pe-xvi6109767
27,Kỹ Sư AOI,https://vn.joboko.com/viec-lam-ky-su-aoi-xvi5865085
28,Chuyên Viên Cao Cấp Quản Lý Thiết Kế - MEP,https://vn.joboko.com/viec-lam-chuyen-vien-cao-cap-quan-ly-thiet-ke-mep-xvi6081735
29,Kỹ Sư Quản Lý Dự Án Tự Động Hóa,https://vn.joboko.com/viec-lam-ky-su-quan-ly-du-an-tu-dong-hoa-xvi5996148
30,Kỹ Sư IT Phần Cứng,https://vn.joboko.com/viec-lam-ky-su-it-phan-cung-xvi6105998
31,Kỹ Sư Kết Cấu Sản Phẩm,https://vn.joboko.com/viec-lam-ky-su-ket-cau-san-pham-xvi5996156
32,Nhân Viên Nghiên Cứu Điện Tử Viễn Thông..,https://vn.joboko.com/viec-lam-nhan-vien-nghien-cuu-dien-tu-vien-thong-xvi6092787
