stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Kỹ sư Triển khai Giải pháp/ Kỹ sư IoT,https://vn.joboko.com/viec-lam-ky-su-trien-khai-giai-phap-ky-su-iot-xvi6085421
5,NHÂN VIÊN IT,https://vn.joboko.com/viec-lam-nhan-vien-it-xvi6090859
6,Nhân Viên Kinh Doanh Thiết Bị Cơ Điện,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-thiet-bi-co-dien-xvi6116706
7,Nhân Viên Kỹ Thuật Viễn Thông,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-vien-thong-xvi6102332
8,Senior Business Development (ESG service),https://vn.joboko.com/viec-lam-senior-business-development-esg-service-xvi6101362
9,IT STAFF,https://vn.joboko.com/viec-lam-it-staff-xvi6117261
10,Kỹ Sư Cơ Điện,https://vn.joboko.com/viec-lam-ky-su-co-dien-xvi6080289
11,Assistant IT Manager (Transporation Management System),https://vn.joboko.com/viec-lam-assistant-it-manager-transporation-management-system-xvi6073945
12,Kỹ Sư Giải Pháp (Solution Engineer),https://vn.joboko.com/viec-lam-ky-su-giai-phap-solution-engineer-xvi6090020
13,Giám Sát MEP/ Kỹ Sư Cơ Điện - Lương Thưởng Hấp Dẫn,https://vn.joboko.com/viec-lam-giam-sat-mep-ky-su-co-dien-luong-thuong-hap-dan-xvi6113016
14,Nhân Viên Bảo Trì Điện Lạnh,https://vn.joboko.com/viec-lam-nhan-vien-bao-tri-dien-lanh-xvi6081661
