stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Kỹ Sư Cơ Điện,https://vn.joboko.com/viec-lam-ky-su-co-dien-xvi6080289
5,IT Manager (CCNA/CCNP/MCSE),https://vn.joboko.com/viec-lam-it-manager-ccna-ccnp-mcse-xvi6076872
6,"Nhân Viên Kinh Doanh GPS, Camera Hành Trình",https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-gps-camera-hanh-trinh-xvi6104806
7,NHÂN VIÊN KỸ THUẬT GPS - Khu Vực Phú Mỹ-Bà Rịa Vũng Tàu,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-gps-khu-vuc-phu-my-ba-ria-vung-tau-xvi5973933
8,Kỹ Sư Điện,https://vn.joboko.com/viec-lam-ky-su-dien-xvi5947153
9,Kỹ Sư Điện Cấp Cao,https://vn.joboko.com/viec-lam-ky-su-dien-cap-cao-xvi6090749
10,Nhân Viên Lập Trình Phay CNC,https://vn.joboko.com/viec-lam-nhan-vien-lap-trinh-phay-cnc-xvi6078648
11,Trưởng phòng Sản xuất Thông minh (Intelligent Manufacturing Manager) - Tiếng Trung hoặc tiếng Anh,https://vn.joboko.com/viec-lam-truong-phong-san-xuat-thong-minh-intelligent-manufacturing-manager-tieng-trung-hoac-tieng-anh-xvi6104138
12,HRIS Executive,https://vn.joboko.com/viec-lam-hris-executive-xvi3907862
13,Senior Software Quality Control Executive,https://vn.joboko.com/viec-lam-senior-software-quality-control-executive-xvi4957470
