stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Chuyên viên thống kê & Phân tích dữ liệu,https://vn.joboko.com/viec-lam-chuyen-vien-thong-ke-phan-tich-du-lieu-xvi6061853
5,"Nhân viên IT phần cứng, mạng",https://vn.joboko.com/viec-lam-nhan-vien-it-phan-cung-mang-xvi6023493
6,GRAPHIC DESIGNER (Marketing Agency),https://vn.joboko.com/viec-lam-graphic-designer-marketing-agency-xvi6089206
7,Nhân Viên Kỹ Thuật Cơ,https://vn.joboko.com/viec-lam-nhan-vien-ky-thuat-co-xvi5937523
8,Quản Lý Dự Án Điện Năng Lượng,https://vn.joboko.com/viec-lam-quan-ly-du-an-dien-nang-luong-xvi6003954
9,Nhân Viên IT Support (Nhà Máy),https://vn.joboko.com/viec-lam-nhan-vien-it-support-nha-may-xvi6111666
10,Nhân Viên IT - Helpdesk (Nhà Máy),https://vn.joboko.com/viec-lam-nhan-vien-it-helpdesk-nha-may-xvi6111677
11,"Nhân Viên Kinh Doanh GPS, Camera Hành Trình",https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-gps-camera-hanh-trinh-xvi6104806
12,Kỹ Sư Hệ Thống Chất Lượng / Iso,https://vn.joboko.com/viec-lam-ky-su-he-thong-chat-luong-iso-xvi6097770
13,Nhân Viên Vận Hành Hệ Thống,https://vn.joboko.com/viec-lam-nhan-vien-van-hanh-he-thong-xvi6096870
14,Kỹ Sư Điện,https://vn.joboko.com/viec-lam-ky-su-dien-xvi6076814
