stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Chuyên Viên Hỗ Trợ Người Dùng IT Helpdesk,https://vn.joboko.com/viec-lam-chuyen-vien-ho-tro-nguoi-dung-it-helpdesk-xvi6112634
5,Nhân viên Kinh doanh,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-xvi5891654
6,Sales & Marketing - Lương Cứng 15M - 25M,https://vn.joboko.com/viec-lam-sales-marketing-luong-cung-15m-25m-xvi6074460
7,Cán Bộ Kỹ Thuật M&E,https://vn.joboko.com/viec-lam-can-bo-ky-thuat-m-e-thu-nhap-tu-18-22tr-xvi5846066
8,"Kỹ Sư Điện/Cấp Thoát Nước (Công Trường), Mức Lương 15-22 Triệu",https://vn.joboko.com/viec-lam-ky-su-dien-cap-thoat-nuoc-cong-truong-muc-luong-15-22-trieu-xvi6070983
9,IT Support (Onsite Thanh Hoá ),https://vn.joboko.com/viec-lam-it-support-onsite-thanh-hoa-xvi6078438
10,Nhân Viên Kinh Doanh,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-xvi5947571
11,"Nhân Viên Kinh Doanh Phần Mềm Quản Lý Bán Hàng (Thu Nhập 15-30tr/Tháng, Không Yêu Cầu Kinh Nghiệm)",https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-phan-mem-quan-ly-ban-hang-thu-nhap-15-30tr-thang-khong-yeu-cau-kinh-nghiem-xvi6019252
