stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Nhân Viên Vận Hành Hệ Thống Xử Lí Nước Thải,https://vn.joboko.com/viec-lam-nhan-vien-van-hanh-he-thong-xu-li-nuoc-thai-xvi5709416
5,Kĩ Sư Mep,https://vn.joboko.com/viec-lam-ki-su-mep-xvi6113328
6,Phó Ban Quản Lí Dự Án MEP,https://vn.joboko.com/viec-lam-pho-ban-quan-li-du-an-mep-xvi6113198
7,Nhân Viên IT,https://vn.joboko.com/viec-lam-nhan-vien-it-xvi6077049
8,Nhân Viên Agency (Quản Lý Idol Và Vận Hành Livestream),https://vn.joboko.com/viec-lam-nhan-vien-agency-quan-ly-idol-va-van-hanh-livestream-xvi6070718
9,Trưởng Ca Vận Hành NM Điện Gió,https://vn.joboko.com/viec-lam-truong-ca-van-hanh-nm-dien-gio-xvi6104725
10,Kỹ Thuật Viên Sửa Chữa (Đường Dây),https://vn.joboko.com/viec-lam-ky-thuat-vien-sua-chua-duong-day-xvi6054972
11,Software QA Engineer (Remote),https://vn.joboko.com/viec-lam-software-qa-engineer-remote-xvi6102428
12,Kỹ Sư Điện,https://vn.joboko.com/viec-lam-ky-su-dien-xvi6020314
13,Chuyên Viên Kinh Doanh Phần Mềm - Được Đào Tạo,https://vn.joboko.com/viec-lam-chuyen-vien-kinh-doanh-phan-mem-duoc-dao-tao-xvi6029370
14,Kĩ Sư ME,https://vn.joboko.com/viec-lam-ki-su-me-xvi6046385
15,Kỹ Sư Cơ Điện,https://vn.joboko.com/viec-lam-ky-su-co-dien-xvi6085231
