stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Manual Tester - QC,https://vn.joboko.com/viec-lam-manual-tester-qc-xvi6114137
5,Kỹ Sư Điện Trang Trại Chăn Nuôi,https://vn.joboko.com/viec-lam-ky-su-dien-trang-trai-chan-nuoi-xvi6113612
6,Chỉ Huy Trưởng HVAC,https://vn.joboko.com/viec-lam-chi-huy-truong-hvac-xvi6105105
7,Trưởng Nhóm Shopdrawing 3D,https://vn.joboko.com/viec-lam-truong-nhom-shopdrawing-3d-xvi6111840
8,Kỹ Sư Thiết Kế & Thi Công Thang Máy,https://vn.joboko.com/viec-lam-ky-su-thiet-ke-thi-cong-thang-may-xvi5991713
9,Chuyên Viên IT (Làm việc tại Măng Đen),https://vn.joboko.com/viec-lam-chuyen-vien-it-lam-viec-tai-mang-den-xvi6030030
10,Cộng Tác Viên Kinh Doanh Phần Mềm & AI,https://vn.joboko.com/viec-lam-cong-tac-vien-kinh-doanh-phan-mem-ai-xvi6058669
11,Nhân Viên Agency (Quản Lý Idol Và Vận Hành Livestream),https://vn.joboko.com/viec-lam-nhan-vien-agency-quan-ly-idol-va-van-hanh-livestream-xvi6070718
12,DevOps Engineer (Azure)- Up To 50M,https://vn.joboko.com/viec-lam-devops-engineer-azure-up-to-50m-xvi6059760
13,Nhân Viên Kinh Doanh Thiết Bị Điện Chiếu Sáng,https://vn.joboko.com/viec-lam-nhan-vien-kinh-doanh-thiet-bi-dien-chieu-sang-xvi6113249
14,"CTV Bán Hàng Dịch Vụ , Phần Mềm",https://vn.joboko.com/viec-lam-ctv-ban-hang-dich-vu-phan-mem-xvi6103232
15,Business Development Executive,https://vn.joboko.com/viec-lam-business-development-executive-xvi5860687
16,Kỹ Sư Điện Công Nghiệp,https://vn.joboko.com/viec-lam-ky-su-dien-cong-nghiep-xvi6102323
17,Chuyên Viên Kế toán (Làm việc tại Măng Đen - Quảng Ngãi),https://vn.joboko.com/viec-lam-chuyen-vien-ke-toan-lam-viec-tai-mang-den-quang-ngai-xvi6031615
18,Mobile Engineer (Flutter),https://vn.joboko.com/viec-lam-mobile-engineer-flutter-xvi6080612
19,Kỹ Sư Điện Công Nghiệp,https://vn.joboko.com/viec-lam-ky-su-dien-cong-nghiep-xvi6102293
20,Kỹ Sư Điện - Đi Làm Ngay,https://vn.joboko.com/viec-lam-ky-su-dien-di-lam-ngay-xvi6091030
21,CTV Kinh Doanh Giải Pháp Công Nghệ,https://vn.joboko.com/viec-lam-ctv-kinh-doanh-giai-phap-cong-nghe-xvi6072058
22,Kỹ Sư Phần Cứng (HW),https://vn.joboko.com/viec-lam-ky-su-phan-cung-hw-xvi6102608
23,Multimedia Designer/Video Editor Du Lịch,https://vn.joboko.com/viec-lam-multimedia-designer-video-editor-du-lich-xvi6000464
24,02 Data Engineers Databricks,https://vn.joboko.com/viec-lam-02-data-engineers-databricks-xvi6052984
