stt,tên việc,link
1,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-thu-nhap-upto-20-trieu-xvi6117106
2,Quản Lý Dự Án Phần Mềm Tiếng Nhật N2 - Có thể làm việc Remote,https://vn.joboko.com/viec-lam-quan-ly-du-an-yeu-cau-tieng-nhat-n2-xvi6104027
3,Giáo Viên Tiếng Anh Online - Thu Nhập Upto 20 Triệu,https://vn.joboko.com/viec-lam-giao-vien-tieng-anh-online-xvi6041713
4,Kỹ Sư QS M&E,https://vn.joboko.com/viec-lam-ky-su-qs-m-e-xvi6104361
5,Kỹ Sư QS Cơ Điện,https://vn.joboko.com/viec-lam-ky-su-qs-co-dien-xvi6104386
6,Chỉ Huy Phó Cơ Điện,https://vn.joboko.com/viec-lam-chi-huy-pho-co-dien-xvi6077537
7,Chỉ Huy Trưởng Cơ Điện,https://vn.joboko.com/viec-lam-chi-huy-truong-co-dien-xvi6077541
8,Chỉ Huy Trưởng Cơ Điện,https://vn.joboko.com/viec-lam-chi-huy-truong-co-dien-xvi6077533
9,Chỉ Huy Phó Cơ Điện,https://vn.joboko.com/viec-lam-chi-huy-pho-co-dien-xvi6074551
10,"Kỹ Sư Điện/Cấp Thoát Nước (Công Trường), Mức Lương 15-22 Triệu",https://vn.joboko.com/viec-lam-ky-su-dien-cap-thoat-nuoc-cong-truong-muc-luong-15-22-trieu-xvi6070983
11,Kỹ Sư QS Cơ Điện,https://vn.joboko.com/viec-lam-ky-su-qs-co-dien-xvi6107084
12,Kỹ Sư QS Cơ Điện,https://vn.joboko.com/viec-lam-ky-su-qs-co-dien-xvi6104228
13,Chỉ Huy Trưởng Cơ Điện,https://vn.joboko.com/viec-lam-chi-huy-truong-co-dien-xvi6073521
14,Kỹ Thuật Viên Điện Lạnh,https://vn.joboko.com/viec-lam-ky-thuat-vien-dien-lanh-xvi6083219
